Метод токенизации,Количество слов в словаре,Доля OOV,Время токенизации на 1000000 символов
Токенизация по пробелам,62776,10.96%,0.09 секунд
Токенизация по пробелам со стеммингом,41529,7.41%,6.83 секунд
Токенизация по пробелам с лемматизацией,41774,7.45%,33.54 секунд
Токенизация по пробелам с предобработкой,44420,9.91%,0.92 секунд
Токенизация по пробелам с предобработкой и стеммингом,19680,4.3%,6.1 секунд
Токенизация по пробелам с предобработкойи лемматизацией,19995,4.39%,16.16 секунд
NLTK токенизация по словам,47319,6.47%,1.35 секунд
NLTK токенизация по словам со стеммингом,22382,3.03%,11.44 секунд
NLTK токенизация по словам с лемматизацией,22679,3.08%,34.76 секунд
